treatment|Treatment
other|Other
supportive_care|Supportive Care
diagnostic|Diagnostic
prevention|Prevention
basic_science|Basic Science
health_services_research|Health Services Research
screening|Screening
AL|Alabama
AK|Alaska
AZ|Arizona
AR|Arkansas
CA|California
CO|Colorado
CT|Connecticut
DE|Delaware
FL|Florida
GA|Georgia
HI|Hawaii
ID|Idaho
IL|Illinois
IN|Indiana
IA|Iowa
KS|Kansas
KY|Kentucky
LA|Louisiana
ME|Maine
MD|Maryland
MA|Massachusetts
MI|Michigan
MN|Minnesota
MS|Mississippi
MO|Missouri
MT|Montana
NE|Nebraska
NV|Nevada
NH|New Hampshire
NJ|New Jersey
NM|New Mexico
NY|New York
NC|North Carolina
ND|North Dakota
OH|Ohio
OK|Oklahoma
OR|Oregon
PA|Pennsylvania
RI|Rhode Island
SC|South Carolina
SD|South Dakota
TN|Tennessee
TX|Texas
UT|Utah
VT|Vermont
VA|Virginia
WA|Washington
WV|West Virginia
WI|Wisconsin
WY|Wyoming
AS|American Samoa
DC|District Of Columbia
FM|Federated States of Micronesia
GU|Guam
MH|Marshall Islands
MPNorthern Mariana Islands
PW|Palau
PR|Puerto Rico
VI|Virgin Islands
I|Phase I
II|Phase II
III|Phase III
IV|Phase IV
