C7057|Disease, Disorder or Finding
C3367|Finding
C2991|Disease or Disorder
C48232|Cancer TNM Finding
C35470|Behavioral Disorder
C77140|Clinical Test Result
C35461|Clinical Course of Disease
C8278|Cancer-Related Condition
C27551|Disorder by Site
C48698|Cancer TNM Finding Category
C35458|Dependence
C27927|Alcohol-Related Carcinoma
C48233|Cancer TNM Finding by Site
C99753|Disruptive Behavior Disorder
C70921|ADME Finding
C78180|Abnormal Audiogram
C111773|Abnormal Continuous Cardiotocography Pattern
C39760|Above the Diaphragm Disease
C36155|Accelerated Phase of Disease
C36157|Acute Clinical Course
C3190|Linitis Plastica
C3063|Graft Versus Host Disease
C2868|Amyloidosis
C26709|Breast Disorder
C2931|Cardiovascular Disorder
C27574|Connective and Soft Tissue Disorder
C48882|Autopsy TNM Finding
C48881|Clinical TNM Finding
C3479|Addiction
C93040|Alcohol Dependence
C48879|Generic TNM Finding
C3894|Drug Dependence
C27928|Alcohol-Related Esophageal Squamous Cell Carcinoma
C27929|Alcohol-Related Laryngeal Carcinoma
C27924|Alcohol-Related Hepatocellular Carcinoma
C48790|Breast Cancer TNM Finding v6
C88257|Breast Cancer TNM Finding v7
C48791|Cutaneous Melanoma TNM Finding v6
C97250|Intellectual Disability
C61389|Abnormal Patch Test Result
C87063|Arm Recoil Result
C123443|Clinical Change by Non-Invasive Imaging Procedure
C54095|Aggravated Disease
C36104|Aggressive Clinical Course
C39761|Below the Diaphragm Disease
C3223|Meigs Syndrome
C4980|Acute Graft Versus Host Disease
C5106|Intestinal Graft Versus Host Disease
C4981|Chronic Graft Versus Host Disease
C8323|Soft Tissue Amyloid Neoplasm
C41137|Amyloidoma
C84555|Familial Amyloidosis
C2909|Non-Neoplastic Breast Disorder
C2910|Breast Neoplasm
C4784|Cardiovascular Neoplasm
C3079|Heart Disorder
C27672|Non-Neoplastic Cardiovascular Disorder
C26729|Connective Tissue Disorder
C107377|Musculoskeletal System Disorder
C3810|Connective and Soft Tissue Neoplasm
C48739|Pathologic TNM Finding
C133398|Postneoadjuvant Therapy TNM Finding
C21129|Physical Dependence
C21131|Psychological Dependence
C48883|Generic Distant Metastasis TNM Finding
C48777|Cancer TNM Vessel Invasion Finding Category
C48885|Generic Primary Tumor TNM Finding
C34445|Cannabis Dependence
C34492|Cocaine Dependence
C34657|Hallucinogen Dependence
C34868|Organic Brain Syndrome
C48968|Breast Cancer Pathologic TNM Finding v6
C48967|Breast Cancer Clinical TNM Finding v6
C88364|Breast Cancer Clinical TNM Finding v7
C88258|Breast Cancer Pathologic TNM Finding v7
C48896|Cutaneous Melanoma Clinical TNM Finding v6
C114798|Elevated Blood Pressure Measurement
C48838|Cutaneous Melanoma Pathologic TNM Finding v6
C35029|Socialized Conduct Disorder
C93283|False Negative
C103143|Exacerbation of cGVHD
C45726|False Positive
C39786|Bilateral Disease
C38655|Bulky Disease
C3818|Secondary Amyloidosis
C3311|Paraneoplastic Syndrome
C3341|Precancerous Condition
C3484|Breast Adenosis
C3819|Primary Amyloidosis
C83494|Breast Atrophy
C3661|Breast Fat Necrosis
C40405|Breast Fibroepithelial Neoplasm
C40400|Breast Granular Cell Tumor
C4505|Benign Breast Neoplasm
C3081|Cardiac Neoplasm
C3081|Cardiac Neoplasm
C114940|Malignant Cardiovascular Neoplasm
C5348|Great Vessel Neoplasm
C2881|Arrhythmia
C34915|Pericarditis
C34403|Arteriosclerotic Cardiovascular Disease
C35741|Non-Neoplastic Heart Disorder
C35729|Congenital Cardiovascular Abnormality
C9343|Bone Neoplasm
C121831|Bone Tumor of Undefined Neoplastic Nature
C97075|Hereditary Connective Tissue Disorder
C9343|Bone Neoplasm
C4063|Myomatous Neoplasm
C9343|Bone Neoplasm
C53684|Benign Connective and Soft Tissue Neoplasm
C27572|Non-Neoplastic Bone Disorder
C3055|Giant Cell Tumor
C48886|Pathologic Distant Metastasis TNM Finding
C48887|Pathologic Regional Lymph Nodes TNM Finding
C48888|Pathologic Primary Tumor TNM Finding
C48880|Recurrent Cancer TNM Finding
C48699|M0 Stage Finding
C48704|MX Stage Finding
C48778|L0 Stage Finding
C48700|M1 Stage Finding
C48779|L1 Stage Finding
C48780|LX Stage Finding
C106299|Any T
C48719|T0 Stage Finding
C35386|Cannabis Dependence, Continuous Use
C48720|T1 Stage Finding
C35387|Cannabis Dependence, Episodic Use
C35388|Cocaine Dependence, Continuous Use
C35389|Cocaine Dependence, Episodic Use
C35384|Hallucinogen Dependence, Continuous Use
C35385|Hallucinogen Dependence, Episodic Use
C34871|Organic Affective Syndrome
C34869|Organic Delusional Syndrome
C34872|Organic Personality Syndrome
C48971|Breast Cancer Pathologic Distant Metastasis TNM Finding v6
C48969|Breast Cancer Pathologic Primary Tumor TNM Finding v6
C48970|Breast Cancer Pathologic Regional Lymph Nodes TNM Finding v6
C73356|Breast Cancer Clinical Distant Metastasis TNM Finding v6
C73340|Breast Cancer Clinical Primary Tumor TNM Finding v6
C88371|Breast Cancer Clinical Distant Metastasis TNM Finding v7
C88365|Breast Cancer Clinical Primary Tumor TNM Finding v7
C73345|Breast Cancer Clinical Regional Lymph Nodes TNM Finding v6
C88363|Breast Cancer Pathologic Distant Metastasis TNM Finding v7
C88347|Breast Cancer Pathologic Primary Tumor TNM Finding v7
C88366|Breast Cancer Clinical Regional Lymph Nodes TNM Finding v7
C88507|Flat Tympanometry Result
C48895|Cutaneous Melanoma Pathologic Distant Metastasis TNM Finding v6
C88348|Breast Cancer Pathologic Regional Lymph Nodes TNM Finding v7
C48894|Cutaneous Melanoma Pathologic Primary Tumor TNM Finding v6
C2958|Communication Disorder
C48892|Cutaneous Melanoma Pathologic Regional Lymph Nodes TNM Finding v6
C35791|Passive-Aggressive Behavior
C35091|Undersocialized Conduct Disorder, Aggressive Type
C125008|Gross Pathology Result
C125007|Histopathology Result
C36158|Chronic Clinical Course
C36154|Chronic Phase of Disease
C3155|Lambert Eaton Myasthenic Syndrome
C4350|Limbic Encephalitis
C49493|Clinical Course General
C67235|Oncogenic Osteomalacia
C8355|Atypical Hyperplasia
C5198|Breast Apocrine Adenosis
C6941|Breast Blunt Duct Adenosis
C8366|Intraepithelial Neoplasia
C40391|Breast Adenomyoepithelial Adenosis
C2917|Carcinoma In Situ
C8299|Primary Systemic Amyloidosis
C3039|Breast Fibrocystic Change
C40401|Breast Hamartoma
C3744|Breast Fibroadenoma
C4804|Breast Hyperplasia
C7575|Breast Phyllodes Tumor
C3848|Benign Female Breast Neoplasm
C5144|Benign Breast Adenomyoepithelioma
C5193|Benign Breast Eccrine Spiradenoma
C45753|Cardiac Inflammatory Myofibroblastic Tumor
C6410|Cardiac Paraganglioma
C3605|Benign Cardiac Neoplasm
C3605|Benign Cardiac Neoplasm
C6410|Cardiac Paraganglioma
C45753|Cardiac Inflammatory Myofibroblastic Tumor
C4575|Malignant Great Vessel Neoplasm
C3548|Malignant Cardiac Neoplasm
C7390|Malignant Vascular Neoplasm
C8539|Benign Great Vessel Neoplasm
C62015|AV Block First Degree
C4575|Malignant Great Vessel Neoplasm
C51224|Atrial Flutter
C35200|Acute Rheumatic Pericarditis
C50466|Atrial Fibrillation
C128404|Bacterial Pericarditis
C78246|Constrictive Pericarditis
C35771|Atherosclerotic Cardiovascular Disease
C35589|Cardiac Sarcoidosis
C50481|Cardiac Tamponade
C6740|Atrial Septum Lipomatous Hypertrophy
C35377|Congenital Arteriovenous Fistula
C84477|Congenital Coronary Artery Abnormality
C6480|Bone Glomus Tumor
C95834|Congenital Heart Disease
C3738|Osteoclastic Giant Cell-Rich Tumor of Bone
C3516|Aneurysmal Bone Cyst
C4880|Benign Bone Neoplasm
C2904|Simple Bone Cyst
C53973|Chest Wall Chondromesenchymal Hamartoma
C4880|Benign Bone Neoplasm
C75471|COL1A1 Associated Connective Tissue Disorder
C34807|Marfan Syndrome
C6480|Bone Glomus Tumor
C3738|Osteoclastic Giant Cell-Rich Tumor of Bone
C4882|Benign Muscle Neoplasm
C6514|Skeletal Muscle Neoplasm
C4883|Malignant Muscle Neoplasm
C6480|Bone Glomus Tumor
C4880|Benign Bone Neoplasm
C3738|Osteoclastic Giant Cell-Rich Tumor of Bone
C4880|Benign Bone Neoplasm
C34345|Achondroplasia
C8592|Benign Chondrogenic Neoplasm
C118460|Blount's Disease
C6490|Benign Fibrohistiocytic Neoplasm
C35545|Acroosteolysis
C3738|Osteoclastic Giant Cell-Rich Tumor of Bone
C49107|Giant Cell Tumor of Soft Tissue
C3402|Tenosynovial Giant Cell Tumor
C48740|pM0 Stage Finding
C48741|pM1 Stage Finding
C48745|pN0 Stage Finding
C48746|pN1 Stage Finding
C48758|pT0 Stage Finding
C48750|pN2 Stage Finding
C48759|pT1 Stage Finding
C48764|pT2 Stage Finding
C95956|cM0 (i+) Stage Finding
C48781|V0 Stage Finding
C48702|M1b Stage Finding
C48701|M1a Stage Finding
C48703|M1c Stage Finding
C48783|V2 Stage Finding
C48782|V1 Stage Finding
C48728|T3 Stage Finding
C48724|T2 Stage Finding
C48721|T1a Stage Finding
C48722|T1b Stage Finding
C34694|Heroin Dependence
C48723|T1c Stage Finding
C54203|Nicotine Dependence
C49008|Breast Cancer pM0 TNM Finding
C49009|Breast Cancer pM1 TNM Finding v6 and v7
C35074|Tobacco Use Disorder
C49010|Breast Cancer pMX TNM Finding v6
C48973|Breast Cancer pT0 TNM Finding v6 and v7
C48983|Breast Cancer pT2 TNM Finding v6 and v7
C48978|Breast Cancer pT1 TNM Finding v6 and v7
C48991|Breast Cancer pN0 TNM Finding v6
C48996|Breast Cancer pN1 TNM Finding v6
C49001|Breast Cancer pN2 TNM Finding v6
C73358|Breast Cancer cM0 TNM Finding v6
C73359|Breast Cancer cM1 TNM Finding v6
C73357|Breast Cancer cMX TNM Finding v6
C73341|Breast Cancer cT0 TNM Finding v6
C73342|Breast Cancer cT1 TNM Finding v6
C73343|Breast Cancer cT2 TNM Finding v6
C88373|Breast Cancer cM0 TNM Finding v7
C88374|Breast Cancer cM1 TNM Finding v7
C73347|Breast Cancer cN0 TNM Finding v6 and v7
C73348|Breast Cancer cN1 TNM Finding v6 and v7
C49009|Breast Cancer pM1 TNM Finding v6 and v7
C73349|Breast Cancer cN2 TNM Finding v6
C48973|Breast Cancer pT0 TNM Finding v6 and v7
C48978|Breast Cancer pT1 TNM Finding v6 and v7
C48983|Breast Cancer pT2 TNM Finding v6 and v7
C73347|Breast Cancer cN0 TNM Finding v6 and v7
C73348|Breast Cancer cN1 TNM Finding v6 and v7
C111772|Indeterminate Continuous Cardiotocography Pattern
C88368|Breast Cancer cN2 TNM Finding v7
C48864|Cutaneous Melanoma pM0 TNM Finding
C48866|Cutaneous Melanoma pM1 TNM Finding v6
C48865|Cutaneous Melanoma pMX TNM Finding
C88349|Breast Cancer pN0 TNM Finding v7
C88358|Breast Cancer pN2 TNM Finding v7
C88352|Breast Cancer pN1 TNM Finding v7
C48842|Cutaneous Melanoma pT1 TNM Finding v6
C48840|Cutaneous Melanoma pT0 TNM Finding v6 and v7
C48845|Cutaneous Melanoma pT2 TNM Finding v6 and v7
C48855|Cutaneous Melanoma pN0 TNM Finding v6 and v7
C5041|Speech Disorder
C48856|Cutaneous Melanoma pN1 TNM Finding v6
C41341|Withdrawal
C48859|Cutaneous Melanoma pN2 TNM Finding v6
C111771|Normal Continuous Cardiotocography Pattern
C39767|Contiguous Disease
C50526|Decreased Therapeutic Response
C4686|Opsoclonus Myoclonus Syndrome
C35681|Negative Test Result
C4685|Paraneoplastic Cerebellar Degeneration
C49494|Not Recovered or Not Resolved
C49495|Recovered or Resolved with Sequelae
C49498|Recovered or Resolved
C8966|Paraneoplastic Opsoclonus Ataxia
C5665|Atypical Adenomatous Lung Hyperplasia
C8356|Atypical Glandular Hyperplasia
C5199|Breast Microglandular Adenosis
C5195|Atypical Hyperplasia of the Breast
C5205|Breast Sclerosing Adenosis
C3782|Cervical Intraepithelial Neoplasia
C8962|Digestive System Intraepithelial Neoplasia
C27269|Glandular Cell Intraepithelial Neoplasia
C4123|Adenocarcinoma In Situ
C7681|Carcinoma In Situ in a Polyp
C9436|Radiation Fibrosis
C6943|Breast Fibrocystic Change, Non-Proliferative Type
C6940|Breast Fibrocystic Change, Proliferative Type
C35180|Digestive System Carcinoma In Situ
C40403|Breast Adenohibernoma
C40402|Breast Adenolipoma
C40404|Breast Myoid Hamartoma
C5194|Breast Complex Fibroadenoma
C4273|Breast Giant Fibroadenoma
C4271|Breast Intracanalicular Fibroadenoma
C5195|Atypical Hyperplasia of the Breast
C54183|Columnar Cell Hyperplasia of the Breast
C5196|Benign Breast Phyllodes Tumor
C5316|Borderline Breast Phyllodes Tumor
